#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 368670:8891 | 06/09/23 15:36:20 | 258  | 258  | 122.196697606  | 114.939720475 |
| 368672:8891 | 06/09/23 17:40:15 | 866  | 866  | 306.148327021  | 293.583818174 |
| 368674:8891 | 06/10/23 00:29:40 | 12   | 11   | 3.031769739    | 2.393005299   |
| 368675:8891 | 06/10/23 00:36:10 | 50   | 50   | 12.361974098   | 11.092736514  |
| 368676:8891 | 06/10/23 00:58:19 | 156  | 156  | 36.677392617   | 35.161722887  |
| 368678:8891 | 06/10/23 02:02:10 | 171  | 171  | 37.282319351   | 36.114645605  |
| 368684:8894 | 06/10/23 07:13:07 | 96   | 96   | 26.860710080   | 24.181767715  |
| 368685:8894 | 06/10/23 07:53:33 | 1481 | 1481 | 587.711885226  | 563.237418863 |
| 368723:8895 | 06/11/23 00:11:38 | 93   | 93   | 34.432514185   | 32.781236949  |
| 368724:8895 | 06/11/23 01:02:34 | 1200 | 1200 | 524.456899240  | 498.598111202 |
| 368746:8896 | 06/11/23 11:26:58 | 39   | 39   | 8.972337874    | 8.269401286   |
| 368749:8896 | 06/11/23 11:52:39 | 169  | 169  | 77.283238007   | 72.065072312  |
| 368753:8896 | 06/11/23 13:10:11 | 976  | 976  | 430.733566461  | 410.134541308 |
| 368762:8896 | 06/11/23 22:38:24 | 194  | 194  | 74.415033173   | 68.924086690  |
| 368764:8896 | 06/12/23 00:01:59 | 1    | 1    | 0.474583330    | 0.424110952   |
| 368765:8896 | 06/12/23 00:07:46 | 1386 | 1386 | 559.930420726  | 537.153844324 |
| 368822:8901 | 06/13/23 02:28:21 | 945  | 945  | 415.732917587  | 395.455359454 |
| 368823:8901 | 06/13/23 08:38:47 | 33   | 33   | 13.593059789   | 12.033419393  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 46    | 125  | 55559 | 55558 | 18941.357786857   | 17964.217997764  |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
